zip,data
4102,20
10017,1
12020,1
13850,1
17307,4
19422,1
20646,1
20707,1
21227,1
23803,20
27284,2
28736,1
28746,1
29414,1
29582,35
30341,1
31331,1
31525,1
32128,19
32541,1
32773,10
32903,1
33037,1
33050,1
33309,5
33312,6
33840,1
34243,97
34285,1
34450,1
34787,1
37048,1
38124,1
39194,1
39507,1
49349,1
52404,1
54901,1
59808,10
60090,1
60516,1
60901,1
61611,17
66115,2
68822,1
69145,1
70364,1
70448,1
70554,1
72032,1
72761,1
73160,1
74006,1
74023,1
74101,1
74604,1
76018,48
76101,1
76226,1
76673,1
77012,1
77205,1
77316,1
78249,1
78414,1
78610,1
78628,2
79065,11
81252,1
82716,1
82901,1
85027,1
85050,6
85742,1
85925,1
89014,1
90045,2
92315,1
93405,1
93423,1
94945,1
95476,1
95969,1
97501,1
98101,9
98168,4
98272,1
98815,1
