zip,data
1002,0
1005,5
1020,0
1030,0
1040,0
1075,0
1077,0
1085,0
1095,0
1109,1
1119,13
1201,3
1225,0
1235,0
1339,1
1420,0
1452,0
1535,0
1545,0
1585,1
1605,0
1720,0
1747,0
1749,0
1754,0
1757,0
1772,0
1776,0
1801,0
1803,0
1824,0
1826,0
1844,0
1845,0
1854,0
1862,0
1863,166
1867,0
1876,0
1887,0
1890,0
1902,0
1915,0
1930,0
1950,0
1960,0
1970,0
2019,1
2021,0
2035,88
2093,0
2109,0
2124,0
2127,0
2143,0
2155,0
2169,0
2180,0
2188,0
2189,0
2301,3
2324,0
2341,1
2356,0
2375,0
2446,0
2474,0
2482,0
2632,0
2664,0
2673,0
2718,0
2719,0
2724,0
2726,0
2760,0
2764,0
2769,0
2770,0
2808,0
2813,0
2814,0
2818,0
2831,0
2852,53
2861,2
2888,0
2889,0
2893,0
2908,0
2910,0
2919,0
2920,0
2921,0
3038,0
3045,0
3051,0
3053,0
3054,0
3079,0
3087,29
3102,32
3103,27
3106,442
3229,0
3246,0
3251,0
3253,0
3275,0
3301,0
3303,0
3449,0
3766,0
3801,0
3833,0
3862,0
3873,0
4011,0
4040,0
4042,0
4047,0
4055,2
4061,0
4084,0
4086,0
4270,0
4330,16
4345,1
4401,0
4474,0
4568,0
4901,0
4942,0
5068,1
5301,0
5450,1
5462,0
5473,0
5489,0
5658,0
5672,0
5701,0
5855,0
6001,0
6010,0
6013,0
6032,0
6057,0
6070,0
6076,77
6082,14
6084,0
6090,0
6092,0
6095,0
6098,2
6108,0
6119,0
6120,0
6237,22
6238,0
6260,0
6331,0
6339,0
6340,6
6350,0
6360,0
6365,0
6379,0
6405,0
6422,0
6424,0
6457,0
6470,0
6472,0
6473,0
6479,0
6484,0
6489,0
6492,1
6511,7
6512,0
6610,0
6705,0
6712,0
6716,0
6757,0
6779,0
6786,0
6798,0
6804,0
6810,0
6811,64
6812,0
6830,0
6850,0
6870,0
6877,0
6896,0
6902,0
6907,0
7003,0
7010,0
7013,0
7033,0
7036,0
7045,0
7052,0
7055,3
7057,0
7065,0
7067,0
7068,0
7070,0
7080,0
7083,0
7086,0
7090,0
7095,0
7109,282
7201,0
7203,0
7305,0
7407,0
7424,0
7436,0
7444,0
7446,0
7461,7
7463,0
7481,0
7502,0
7506,0
7601,0
7607,0
7621,0
7643,0
7647,0
7662,0
7666,0
7676,0
7701,0
7712,0
7726,0
7728,0
7731,0
7740,0
7747,0
7748,84
7753,37
7764,0
7821,29
7828,0
7836,0
7840,0
7844,6
7848,0
7851,0
7852,296
7853,0
7866,0
7876,0
7901,0
7927,0
7932,0
7936,68
7960,0
8012,0
8016,0
8021,0
8028,0
8030,0
8034,0
8043,0
8048,0
8050,0
8054,0
8059,0
8067,0
8075,0
8077,0
8080,1
8081,0
8088,169
8091,0
8094,1
8095,0
8096,103
8106,0
8117,0
8202,0
8210,0
8225,0
8226,0
8234,0
8251,0
8270,0
8330,0
8343,0
8360,0
8510,0
8511,0
8520,0
8527,0
8530,0
8534,0
8535,0
8536,0
8610,0
8628,0
8641,0
8701,0
8724,0
8742,1
8753,0
8757,0
8816,0
8822,23
8825,0
8831,0
8840,143
8846,4
8850,0
8861,0
8876,0
8882,0
8884,0
8887,51
8889,0
8901,0
10010,0
10019,0
10024,0
10025,0
10034,0
10128,0
10260,0
10304,78
10306,0
10308,0
10312,0
10454,0
10455,0
10462,0
10528,0
10566,0
10577,0
10598,0
10606,0
10607,1
10703,0
10803,0
10918,0
10922,0
10924,0
10925,0
10940,24
10950,0
10962,0
10965,0
10974,0
11050,0
11101,21
11105,0
11205,0
11209,0
11211,0
11213,0
11218,88
11221,0
11224,0
11231,0
11233,0
11235,0
11249,0
11358,0
11362,0
11367,0
11372,0
11373,0
11379,0
11385,0
11414,20
11428,19
11434,0
11501,206
11510,0
11552,0
11558,0
11561,0
11566,0
11572,0
11579,0
11704,0
11706,16
11713,0
11715,1
11720,0
11730,0
11731,0
11735,0
11741,0
11743,0
11755,0
11756,0
11757,0
11758,313
11767,0
11769,80
11771,0
11776,1
11780,0
11782,0
11783,0
11788,0
11789,0
11795,0
11901,0
11946,0
11950,0
11955,0
11961,0
11967,0
12010,0
12019,0
12020,0
12025,0
12056,0
12058,0
12065,39
12106,5
12110,0
12180,0
12188,0
12203,0
12205,0
12212,0
12477,0
12508,0
12524,0
12533,0
12550,0
12553,32
12563,1
12581,0
12603,0
12721,0
12790,0
12804,0
12831,0
12839,0
12885,0
