zip,data
1027,1
1056,1
1068,1
1069,2
1081,1
1082,1
1095,1
1096,12
1105,1
1237,1
1393,1
1420,41
1436,1
1505,51
1520,1
1541,1
1569,350
1571,1
1730,1
1760,1
1775,1
1801,1
1844,1
1850,1
1854,1
1930,1
1938,1
2038,1
2072,28
2170,1
2190,1
2301,1
2330,1
2364,1
2367,1
2532,1
2664,1
2702,1
2760,2
2767,1
2768,1
2777,1
2780,1
2813,1
2816,2
2818,164
2825,1
2886,2
2896,1
3034,1
3054,211
3079,1
3086,1
3253,2
3258,151
3301,29
3303,1
3603,1
3784,1
3813,91
3835,1
3842,2
3843,1
3848,138
3860,1
3861,1
3866,87
4005,1
4072,4
4107,1
4351,33
4441,1
4537,1
5301,14
5403,17
5452,2
5477,1
5495,1
5651,183
5734,1
5762,1
5855,1
6010,43
6029,1
6043,1
6071,1
6082,1
6085,1
6089,1
6096,115
6235,1
6249,1
6250,1
6331,1
6357,1
6359,17
6360,1
6403,1
6413,1
6415,1
6443,1
6475,2
6492,1
6716,18
6763,1
6787,2
6810,22
6850,1
6877,1
6903,1
7009,1
7013,1
7109,1
7302,1
7728,2
7740,1
7757,1
7825,1
7832,1
7853,1
7876,1
7885,1
7930,1
8009,8
8036,1
8055,2
8057,1
8068,2
8077,1
8080,34
8094,189
8106,1
8205,89
8210,105
8234,63
8302,2
8344,209
8510,1
8535,1
8690,1
8701,283
8721,1
8722,1
8734,1
8742,1
8753,1
8758,1
8831,1
8844,1
8867,1
8904,1
9228,1
10025,1
10566,10
10990,1
11214,1
11518,1
11705,1
11735,9
11738,1
11746,1
11763,1
11784,1
11935,1
11951,29
12020,2
12154,1
12401,160
12498,1
12528,1
12550,1
12553,1
12564,1
12771,78
12803,1
12831,1
12953,1
12989,15
13031,1
13039,25
13045,4
13053,1
13074,1
13088,1
13102,1
13112,1
13132,2
13209,80
13261,1
13340,1
13492,10
13783,1
13820,1
14040,38
14075,148
14094,2
14105,1
14120,26
14127,1
14150,1
14217,1
14221,1
14304,1
14423,22
14424,2
14428,245
14454,1
14502,1
14513,45
14519,1
14526,1
14564,2
14569,1
14580,1
14610,1
14616,1
14715,1
14733,1
14787,1
14801,1
14810,193
14870,2
14880,1
15001,2
15009,1
15010,1
15061,1
15068,1
15106,1
15143,1
15203,1
15216,1
15217,1
15223,1
15237,1
15301,1
15314,1
15401,2
15501,1
15562,1
15613,33
15626,51
15642,1
15650,1
15658,1
15668,277
15717,1
15857,1
15904,1
15906,1
15926,1
15946,1
15963,1
16001,41
16025,1
16038,28
16049,1
16052,1
16059,1
16066,1
16116,1
16117,140
16248,1
16345,1
16406,1
16428,76
16433,23
16510,2
16635,185
16673,138
16801,1
17015,1
17020,7
17033,1
17044,1
17057,1
17059,37
17063,169
17112,214
17225,395
17268,1
17301,1
17325,8
17329,1
17331,76
17349,1
17356,2
17402,36
17403,9
17406,1
17509,1
17519,39
17543,89
17545,1
17554,120
17557,1
17579,8
17584,125
17701,1
17702,1
17728,38
17751,30
17754,1
17758,1
17814,1
17870,139
17901,1
17963,1
18015,1
18017,1
18049,1
18066,1
18103,42
18104,2
18109,1
18214,1
18219,1
18235,1
18237,22
18321,1
18353,1
18417,49
18421,1
18428,1
18612,30
18614,1
18657,1
18848,25
18929,1
18930,1
18940,1
18944,1
18964,470
18966,1
18974,1
19018,1
19083,1
19095,1
19135,1
19335,1
19344,14
19363,1
19375,1
19382,220
19401,1
19403,1
19406,1
19425,2
19454,1
19464,39
19475,1
19501,96
19505,1
19512,34
19522,2
19525,1
19530,1
19534,1
19555,3
19608,1
19709,1
19711,1
