zip,data
0,112
1002,1
1005,34
1020,1
1030,3
1040,1
1075,1
1077,1
1085,1
1095,1
1109,152
1119,48
1201,95
1225,1
1235,1
1339,0
1420,1
1452,2
1535,1
1545,1
1585,1
1605,98
1720,1
1747,1
1749,1
1754,1
1757,2
1772,1
1776,1
1801,1
1803,1
1824,1
1826,1
1844,3
1845,1
1854,1
1862,413
1863,118
1867,1
1876,1
1887,1
1890,1
1902,0
1915,0
1930,1
1950,0
1960,1
1970,1
2019,67
2021,2
2035,482
2093,1
2109,1
2124,1
2127,1
2143,125
2155,1
2169,1
2180,0
2188,1
2189,1
2301,168
2324,1
2341,0
2356,1
2375,1
2446,1
2474,1
2482,1
2632,2
2664,1
2673,2
2718,1
2719,2
2724,2
2726,1
2760,2
2764,1
2769,1
2770,1
2808,1
2813,1
2814,1
2818,2
2831,1
2852,271
2861,19
2888,1
2889,1
2893,1
2908,1
2910,1
2919,1
2920,2
2921,3
3038,2
3045,1
3051,1
3053,1
3054,41
3079,2
3087,95
3102,78
3103,227
3106,139
3229,1
3246,1
3251,1
3253,160
3275,577
3301,16
3303,1
3449,1
3766,119
3801,1
3833,1
3862,60
3873,3
4011,1
4040,1
4042,1
4047,1
4055,0
4061,0
4084,1
4086,0
4270,1
4330,145
4345,0
4401,1
4474,1
4568,1
4901,1
4942,1
5068,0
5301,2
5450,0
5462,1
5473,2
5489,1
5658,1
5672,0
5701,1
5855,1
6001,1
6010,1
6013,1
6032,1
6057,3
6070,1
6076,82
6082,112
6084,1
6090,1
6092,1
6095,2
6098,6
6108,185
6119,1
6120,103
6237,52
6238,1
6260,1
6331,1
6339,1
6340,81
6350,0
6360,1
6365,0
6379,1
6405,57
6422,1
6424,1
6457,1
6470,2
6472,1
6473,1
6479,1
6484,1
6489,1
6492,0
6511,138
6512,1
6610,1
6705,8
6712,1
6716,2
6757,1
6779,1
6786,0
6798,1
6804,97
6810,141
6811,206
6812,1
6830,1
6850,1
6870,1
6877,1
6896,1
6902,6
6907,1
7003,1
7010,1
7013,2
7033,1
7036,2
7045,0
7052,1
7055,25
7057,1
7065,1
7067,1
7068,1
7070,1
7080,1
7083,18
7086,1
7090,0
7095,1
7109,461
7201,1
7203,1
7305,1
7407,4
7424,1
7436,2
7444,3
7446,1
7461,62
7463,1
7481,1
7502,1
7506,1
7601,1
7607,1
7621,1
7643,1
7647,27
7662,188
7666,1
7676,1
7701,1
7712,1
7726,1
7728,4
7731,1
7740,1
7747,2
7748,195
7753,95
7764,2
7821,386
7828,1
7836,1
7840,1
7844,55
7848,8
7851,2
7852,103
7853,1
7866,1
7876,1
7901,1
7927,1
7932,1
